[ID Trabajador ,  Nombre ,  Apellido P. ,  Apellido M. ,  Antiguedad ,  Calle ,  Colonia ,  Municipio ,  Proyectos Vigentes , null, null,  Proyectos Historicos , null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[1, Sebastian, Jimenez, Dominguez, 16, Libertad No 1700,Zona Centro,Chihuahua, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, null, null, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Nuro - El Vehiculo que Entregara tus Compras, Urban Rigger - Residencias Flotantes para Estudiantes, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[2, Miguel Angel, Hernandez, Gutierrez, 15, Pino Suarez No 1a,Ojuelos de Jalisco,Ojuelos de Jalisco, Senco - Un Innovador y Disruptivo Casco para Bomberos, null, null, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, O Wind - La Turbina que te Permite Generar Electricidad, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, O Wind - La Turbina que te Permite Generar Electricidad, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Nuro - El Vehiculo que Entregara tus Compras, Creator - El Robot que Fabrica Hamburguesas, O Wind - La Turbina que te Permite Generar Electricidad, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[3, Mateo, Fernandez, Perez, 5, Lopez Mateos Sur No 5100,Las Aguilas,Zapopan, Magic Leap - Un Revolucionario Gadget de Realidad Mixta, null, null, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, O Wind - La Turbina que te Permite Generar Electricidad, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, PAL-V - El Auto Urbano que Vuela, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Nuro - El Vehiculo que Entregara tus Compras, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Urban Rigger - Residencias Flotantes para Estudiantes, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Time Off - El Reloj que elimina la Ansiedad digital, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Creator - El Robot que Fabrica Hamburguesas, Cafe X - Una Cafeteria Completamente Automatizada, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, PAL-V - El Auto Urbano que Vuela, Cafe X - Una Cafeteria Completamente Automatizada, Base - Una Cabina para Transportar a tu Mascota, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Urban Rigger - Residencias Flotantes para Estudiantes, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, null, null, null, null]
[4, Mateo, Fernandez, Munoz, 4, Juarez No 21,Ojocaliente Centro,Ojocaliente, Virtual Tours - Una Agencia de Turismo Virtual, Aura - La Sofisticada Computadora que no Tiene Monitor, Bandi - El Robot que se Convertira en tu Guia Turistico, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Time Off - El Reloj que elimina la Ansiedad digital, Nuro - El Vehiculo que Entregara tus Compras, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, PAL-V - El Auto Urbano que Vuela, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Piestro - El Robot que Prepara Pizzas en 3 Minutos, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, CycleWash - Una Innovadora Lavadora para Bicicletas, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Time Off - El Reloj que elimina la Ansiedad digital, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Base - Una Cabina para Transportar a tu Mascota, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Creator - El Robot que Fabrica Hamburguesas, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, O Wind - La Turbina que te Permite Generar Electricidad, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Urban Rigger - Residencias Flotantes para Estudiantes, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, null, null, null, null]
[5, NOM, AP, AM, 777, CALL, COL, MUN, P1, null, null, P2, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[6, Leonardo, Munoz, Gutierrez, 8, Hidalgo y R Meneses No 17,Centro,Sahuaripa, Virtual Tours - Una Agencia de Turismo Virtual, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, Bandi - El Robot que se Convertira en tu Guia Turistico, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Nuro - El Vehiculo que Entregara tus Compras, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Cafe X - Una Cafeteria Completamente Automatizada, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, O Wind - La Turbina que te Permite Generar Electricidad, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Infarm - Una Granja Techada, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Urban Rigger - Residencias Flotantes para Estudiantes, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Mirror - El Gimnasio que cabe en un Espejo, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, O Wind - La Turbina que te Permite Generar Electricidad, Time Off - El Reloj que elimina la Ansiedad digital, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, PAL-V - El Auto Urbano que Vuela, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, null, null, null, null, null]
[7, Victoria, Garcia, Gutierrez, 29, Melchor Ocampo No 100,Miahuatlan de Porfirio Diaz Centro,Miahuatlan de Porfirio Diaz, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, Senco - Un Innovador y Disruptivo Casco para Bomberos, null, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, CycleWash - Una Innovadora Lavadora para Bicicletas, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, CycleWash - Una Innovadora Lavadora para Bicicletas, CycleWash - Una Innovadora Lavadora para Bicicletas, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Base - Una Cabina para Transportar a tu Mascota, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Base - Una Cabina para Transportar a tu Mascota, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Cafe X - Una Cafeteria Completamente Automatizada, CycleWash - Una Innovadora Lavadora para Bicicletas, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Nuro - El Vehiculo que Entregara tus Compras, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, O Wind - La Turbina que te Permite Generar Electricidad, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[8, Alexander, Gonzalez, Alvarez, 4, Galeana No 16,Chignahuapan,Chignahuapan, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, null, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, CycleWash - Una Innovadora Lavadora para Bicicletas, O Wind - La Turbina que te Permite Generar Electricidad, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Nuro - El Vehiculo que Entregara tus Compras, Base - Una Cabina para Transportar a tu Mascota, Creator - El Robot que Fabrica Hamburguesas, Infarm - Una Granja Techada, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Base - Una Cabina para Transportar a tu Mascota, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[9, Victoria, Garcia, Sanchez, 37, Hermenegildo Galeana No s/n,Tecpan de Galeana Centro,Tecpan de Galeana, Bandi - El Robot que se Convertira en tu Guia Turistico, SafetyNet - La Red que Salvara a Millones de Peces, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[10, Ximena, Alvarez, Martinez, 16, Berriozabal No 198,Tomatlan,Tomatlan, Gentlewasher - La Lavadora Portatil que No Utiliza Electricidad, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, null, CycleWash - Una Innovadora Lavadora para Bicicletas, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Creator - El Robot que Fabrica Hamburguesas, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Mirror - El Gimnasio que cabe en un Espejo, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Base - Una Cabina para Transportar a tu Mascota, Urban Rigger - Residencias Flotantes para Estudiantes, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, CycleWash - Una Innovadora Lavadora para Bicicletas, Infarm - Una Granja Techada, Time Off - El Reloj que elimina la Ansiedad digital, Urban Rigger - Residencias Flotantes para Estudiantes, CycleWash - Una Innovadora Lavadora para Bicicletas, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Mirror - El Gimnasio que cabe en un Espejo, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, CycleWash - Una Innovadora Lavadora para Bicicletas, CycleWash - Una Innovadora Lavadora para Bicicletas, Infarm - Una Granja Techada, O Wind - La Turbina que te Permite Generar Electricidad, null, null, null, null]
[11, Sofia, Lopez, Navarro, 21, Emilio Zapata No s/n,San Isidro,Valle de Chalco Solidaridad, Virtual Tours - Una Agencia de Turismo Virtual, Senco - Un Innovador y Disruptivo Casco para Bomberos, null, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Urban Rigger - Residencias Flotantes para Estudiantes, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Urban Rigger - Residencias Flotantes para Estudiantes, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, O Wind - La Turbina que te Permite Generar Electricidad, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Base - Una Cabina para Transportar a tu Mascota, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Creator - El Robot que Fabrica Hamburguesas, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
